transition_id,source_index,target_index,Ji,Ki,parity_i,mF_i,xi_i,Jf,Kf,parity_f,mF_f,xi_f,signed_frequency_khz,rabi_over_2pi_khz
356,39,1,2,1,+,-0.5,2,1,1,+,0.5,1,-1334121341.48,0.101
357,107,43,2,1,-,-0.5,2,1,1,-,0.5,1,-1310169341.48,0.101
358,71,54,3,3,+,-2.5,3,3,3,+,-1.5,1,-174.9079999923706,0.099
359,128,113,2,0,-,-0.5,4,2,0,-,0.5,1,-170.81700038909912,0.098
360,55,63,3,3,+,-2.5,1,3,3,+,-1.5,2,90.68000030517578,0.08
361,90,89,3,2,+,-0.5,1,3,2,+,0.5,1,-3.883000373840332,0.075
362,129,112,2,0,-,0.5,4,2,0,-,1.5,1,-187.7130002975464,0.073
363,21,96,2,2,+,-0.5,1,3,2,+,0.5,2,2000342004.0889997,0.071
364,114,129,2,0,-,-0.5,1,2,0,-,0.5,4,172.53700017929077,0.069
365,119,111,2,0,-,1.5,2,2,0,-,2.5,1,-85.8580002784729,0.064
366,96,88,3,2,+,0.5,2,3,2,+,1.5,1,-84.00999975204468,0.064
367,55,72,3,3,+,-2.5,1,3,3,+,-1.5,4,209.86100006103516,0.059
368,98,20,3,2,+,-0.5,2,2,2,+,0.5,1,-2000342008.8529997,0.055
369,36,2,2,1,+,-1.5,1,1,1,+,-0.5,1,-1334121286.082,0.011
370,104,44,2,1,-,-1.5,1,1,1,-,-0.5,1,-1310169286.082,0.011
